movie_name,ranking,score
肖申克的救赎,1,9.6
霸王别姬,2,9.6
这个杀手不太冷,3,9.4
阿甘正传,4,9.4
美丽人生,5,9.5
泰坦尼克号,6,9.3
千与千寻,7,9.3
辛德勒的名单,8,9.5
盗梦空间,9,9.3
机器人总动员,10,9.3
忠犬八公的故事,11,9.3
三傻大闹宝莱坞,12,9.2
海上钢琴师,13,9.2
放牛班的春天,14,9.2
大话西游之大圣娶亲,15,9.2
楚门的世界,16,9.2
星际穿越,17,9.2
教父,18,9.2
龙猫,19,9.1
熔炉,20,9.3
无间道,21,9.1
当幸福来敲门,22,9.0
触不可及,23,9.2
怦然心动,24,9.0
疯狂动物城,25,9.2
乱世佳人,26,9.2
蝙蝠侠：黑暗骑士,27,9.1
活着,28,9.1
天堂电影院,29,9.1
少年派的奇幻漂流,30,9.0
十二怒汉,31,9.4
鬼子来了,32,9.2
指环王3：王者无敌,33,9.1
控方证人,34,9.6
天空之城,35,9.0
搏击俱乐部,36,9.0
飞屋环游记,37,8.9
大话西游之月光宝盒,38,8.9
罗马假日,39,9.0
摔跤吧！爸爸,40,9.1
窃听风暴,41,9.1
哈尔的移动城堡,42,8.9
辩护人,43,9.2
闻香识女人,44,9.0
两杆大烟枪,45,9.1
飞越疯人院,46,9.0
死亡诗社,47,9.0
V字仇杀队,48,8.8
海豚湾,49,9.3
教父2,50,9.1
指环王2：双塔奇兵,51,9.0
指环王1：魔戒再现,52,8.9
美丽心灵,53,8.9
饮食男女,54,9.1
情书,55,8.8
素媛,56,9.1
狮子王,57,8.9
钢琴家,58,9.1
末代皇帝,59,9.1
美国往事,60,9.1
小鞋子,61,9.2
七宗罪,62,8.8
被嫌弃的松子的一生,63,8.9
本杰明·巴顿奇事,64,8.8
致命魔术,65,8.8
西西里的美丽传说,66,8.8
黑客帝国,67,8.9
让子弹飞,68,8.7
拯救大兵瑞恩,69,8.9
看不见的客人,70,8.7
天使爱美丽,71,8.7
音乐之声,72,8.9
低俗小说,73,8.8
勇敢的心,74,8.8
大闹天宫,75,9.3
剪刀手爱德华,76,8.7
沉默的羔羊,77,8.8
哈利·波特与魔法石,78,8.8
蝴蝶效应,79,8.7
春光乍泄,80,8.8
心灵捕手,81,8.8
入殓师,82,8.8
猫鼠游戏,83,8.8
布达佩斯大饭店,84,8.8
禁闭岛,85,8.7
玛丽和马克思,86,8.9
阳光灿烂的日子,87,8.8
幽灵公主,88,8.8
第六感,89,8.8
重庆森林,90,8.7
狩猎,91,9.1
穿条纹睡衣的男孩,92,9.0
致命ID,93,8.7
断背山,94,8.7
加勒比海盗,95,8.6
阿凡达,96,8.6
摩登时代,97,9.2
大鱼,98,8.7
告白,99,8.7
一一,100,9.0
射雕英雄传之东成西就,101,8.7
甜蜜蜜,102,8.8
阳光姐妹淘,103,8.8
消失的爱人,104,8.7
爱在黎明破晓前,105,8.7
上帝之城,106,8.9
寻梦环游记,107,9.0
喜剧之王,108,8.6
小森林 夏秋篇,109,8.9
侧耳倾听,110,8.8
倩女幽魂,111,8.6
恐怖直播,112,8.7
风之谷,113,8.8
超脱,114,8.8
爱在日落黄昏时,115,8.8
红辣椒,116,8.9
菊次郎的夏天,117,8.8
驯龙高手,118,8.7
幸福终点站,119,8.7
神偷奶爸,120,8.5
杀人回忆,121,8.7
借东西的小人阿莉埃蒂,122,8.7
请以你的名字呼唤我,123,8.8
七武士,124,9.2
哈利·波特与死亡圣器(下),125,8.7
岁月神偷,126,8.6
小森林 冬春篇,127,9.0
怪兽电力公司,128,8.6
萤火虫之墓,129,8.7
谍影重重3,130,8.7
电锯惊魂,131,8.7
7号房的礼物,132,8.7
东邪西毒,133,8.6
喜宴,134,8.8
疯狂原始人,135,8.7
贫民窟的百万富翁,136,8.5
萤火之森,137,8.8
记忆碎片,138,8.6
黑天鹅,139,8.5
真爱至上,140,8.5
英雄本色,141,8.6
超能陆战队,142,8.6
唐伯虎点秋香,143,8.5
蝙蝠侠：黑暗骑士崛起,144,8.6
雨人,145,8.7
心迷宫,146,8.7
卢旺达饭店,147,8.9
傲慢与偏见,148,8.5
荒蛮故事,149,8.8
海洋,150,9.0
纵横四海,151,8.7
无人知晓,152,9.1
海边的曼彻斯特,153,8.6
时空恋旅人,154,8.7
教父3,155,8.8
虎口脱险,156,8.9
玩具总动员3,157,8.8
完美的世界,158,9.0
花样年华,159,8.6
达拉斯买家俱乐部,160,8.7
恋恋笔记本,161,8.5
血战钢锯岭,162,8.7
燃情岁月,163,8.7
二十二,164,8.7
雨中曲,165,9.0
魂断蓝桥,166,8.8
穿越时空的少女,167,8.6
冰川时代,168,8.5
我是山姆,169,8.8
猜火车,170,8.5
人工智能,171,8.6
头脑特工队,172,8.7
被解救的姜戈,173,8.6
爆裂鼓手,174,8.6
未麻的部屋,175,8.9
罗生门,176,8.7
你的名字。,177,8.4
浪潮,178,8.7
无敌破坏王,179,8.7
香水,180,8.4
阿飞正传,181,8.5
朗读者,182,8.5
房间,183,8.8
恐怖游轮,184,8.4
模仿游戏,185,8.6
可可西里,186,8.7
一个叫欧维的男人决定去死,187,8.8
忠犬八公物语,188,9.1
魔女宅急便,189,8.5
一次别离,190,8.7
战争之王,191,8.6
哪吒闹海,192,8.9
完美陌生人,193,8.6
谍影重重,194,8.5
追随,195,8.9
牯岭街少年杀人事件,196,8.8
地球上的星星,197,8.9
谍影重重2,198,8.6
撞车,199,8.6
黑客帝国3：矩阵革命,200,8.6
惊魂记,201,8.9
青蛇,202,8.5
梦之安魂曲,203,8.7
海街日记,204,8.7
小萝莉的猴神大叔,205,8.5
再次出发之纽约遇见你,206,8.5
新龙门客栈,207,8.5
步履不停,208,8.8
源代码,209,8.4
东京物语,210,9.2
终结者2：审判日,211,8.6
初恋这件小事,212,8.3
疯狂的石头,213,8.3
城市之光,214,9.2
绿里奇迹,215,8.7
爱在午夜降临前,216,8.8
无耻混蛋,217,8.5
末路狂花,218,8.7
秒速5厘米,219,8.3
这个男人来自地球,220,8.5
勇闯夺命岛,221,8.6
E.T. 外星人,222,8.5
变脸,223,8.4
碧海蓝天,224,8.7
彗星来的那一夜,225,8.4
卡萨布兰卡,226,8.6
黄金三镖客,227,9.1
发条橙,228,8.5
聚焦,229,8.8
血钻,230,8.6
美国丽人,231,8.5
海盗电台,232,8.6
国王的演讲,233,8.3
非常嫌疑犯,234,8.6
荒野生存,235,8.6
黑鹰坠落,236,8.6
我爱你,237,9.0
英国病人,238,8.5
千钧一发,239,8.7
天书奇谭,240,9.1
遗愿清单,241,8.5
2001太空漫游,242,8.7
荒岛余生,243,8.5
迁徙的鸟,244,9.1
勇士,245,8.9
枪火,246,8.7
燕尾蝶,247,8.6
叫我第一名,248,8.6
海蒂和爷爷,249,9.0
穆赫兰道,250,8.3
